epoch,train_loss,train_miou,train_mf1,train_iou_impervious,train_iou_building,train_iou_lowveg,train_iou_tree,train_iou_car,train_f1_impervious,train_f1_building,train_f1_lowveg,train_f1_tree,train_f1_car,test_loss,test_miou,test_mf1,test_iou_impervious,test_iou_building,test_iou_lowveg,test_iou_tree,test_iou_car,test_f1_impervious,test_f1_building,test_f1_lowveg,test_f1_tree,test_f1_car,lr
1,1.1747348293386124,0.5422878132631821,0.6679309816528511,0.6518772559378434,0.7197194766442947,0.5350373926248048,0.5095471843594203,0.29525775674954746,0.7797844532702725,0.8187644616568949,0.6761335309534112,0.652323976673553,0.4126484857101242,0.6672329014492413,0.7296146104230531,0.8310072176235603,0.8049415456397193,0.8697899674612378,0.6535471256024071,0.6782478990535887,0.6415465143583123,0.8892455139275015,0.9215866442338789,0.7810776164349459,0.8041762357027356,0.75895007781874,9.997532801828658e-05
2,0.6887194466673665,0.7288355560353214,0.8344063598074998,0.7725784659247708,0.8653463921337216,0.6765508205388431,0.6580536138197338,0.6716484877595374,0.8680649458710042,0.9252926966688335,0.8025201374138503,0.7885209797936306,0.7876330392901805,0.5294820950144813,0.7756362015588416,0.862315121625052,0.8321044397732568,0.8790741891023659,0.6941723314720014,0.7291328455247577,0.7436972019218263,0.9060514640730137,0.9262873608443097,0.8116626942879936,0.8402523335575939,0.8273217553623483,9.990133642141359e-05
3,0.5880184642694615,0.7694983649791943,0.8625587694531209,0.8106744079678146,0.8940689062906636,0.7016679113730788,0.678280554815299,0.7628000444491152,0.8932536300878271,0.9417231247750394,0.8196030549857163,0.8034270869832718,0.8547869504337493,0.507642503295626,0.7886839051745713,0.8704312529581137,0.8365445997979906,0.88918256869037,0.6973929611877316,0.7232972973632434,0.7970020988335212,0.9087244515370267,0.9327557896400749,0.8129041350941111,0.8358920741631867,0.8618798143561696,9.977809823015401e-05
4,0.5246095662867581,0.7978792566116211,0.8816247537828135,0.8325987456504393,0.9194607771933079,0.7317901871822499,0.7051369329845464,0.8004096400475612,0.9061583714673046,0.9573196973804101,0.8418681740392776,0.8232236721168166,0.8795538539102588,0.4995200888859847,0.7903751172169688,0.8706941595526109,0.8449140387395072,0.8930057899228164,0.6949183916643499,0.7014459248573061,0.8175914409008646,0.9138160712336292,0.9344539327641649,0.8122069849570354,0.8206433026823503,0.8723505061258752,9.960573506572391e-05
5,0.49491862131765596,0.8118202885129936,0.8908046359754153,0.8447941220192997,0.9339683253180098,0.7416374743398693,0.7111491762377598,0.8275523446500301,0.9140839830352241,0.965360040494456,0.848873462102353,0.8277702249751095,0.8979354692699338,0.46805420452876695,0.8105689703353812,0.8843757969245496,0.8490318242046568,0.9091440621645205,0.716676450970154,0.7483456754495227,0.8296468388880529,0.9162132857203015,0.9447312905723324,0.8268253782235221,0.8529349301253618,0.8811740999812299,9.93844170297569e-05
6,0.47152290865778923,0.823761329220401,0.898599240124363,0.8553813438586615,0.9387656553751893,0.7574444957491424,0.7225153858049048,0.8446997653141066,0.9206338819062194,0.9679673012064773,0.8596126763940796,0.8350639270835016,0.9097184140315365,0.4490231972128626,0.8148699273015299,0.8869329239572652,0.8577824305920374,0.9091600422111769,0.7181268183307515,0.7574434259108135,0.8318369194628701,0.9213571425290225,0.9438424200105379,0.8275966314462566,0.8588676903233554,0.8830007354771536,9.911436253643445e-05
7,0.4482594380086219,0.8334169326901988,0.904287887625048,0.8659057933147307,0.9455808988875813,0.7686741119595589,0.7311761677265167,0.8557476915626062,0.9270975856393121,0.9716425590276577,0.8666595389838986,0.8415062932427625,0.9145334612316092,0.46977498116237776,0.8049649371540115,0.8797952790291562,0.8475846125492974,0.8872975312775769,0.6999402227737601,0.7589449837567315,0.8310573354126916,0.9152571032723524,0.928074850267714,0.8148040679508265,0.8600477080090151,0.880792665645873,9.879583809693738e-05
8,0.4379055751832547,0.8402623211620031,0.9094989967163215,0.8697764053940773,0.9494740985057972,0.7714730370099898,0.7393337993158234,0.8712542655843275,0.9292786251734853,0.9738512453364438,0.8684596184244812,0.8475359415086277,0.9283695531385697,0.4678068162193374,0.8130071704541997,0.8855973330532787,0.8550128371469559,0.9075745351036035,0.7163524508239731,0.7379092088057881,0.8481868203906786,0.9197644874278905,0.9416517380740143,0.827308073084542,0.8463469191465454,0.8929154475334018,9.842915805643157e-05
