epoch,train_loss,train_miou,train_mf1,train_iou_impervious,train_iou_building,train_iou_lowveg,train_iou_tree,train_iou_car,train_f1_impervious,train_f1_building,train_f1_lowveg,train_f1_tree,train_f1_car,test_loss,test_miou,test_mf1,test_iou_impervious,test_iou_building,test_iou_lowveg,test_iou_tree,test_iou_car,test_f1_impervious,test_f1_building,test_f1_lowveg,test_f1_tree,test_f1_car,lr
1,0.8704718234086478,0.5201467095434325,0.6432441318381565,0.6487952147575992,0.717646907488988,0.5223972485176395,0.4875820588872389,0.22431211806569654,0.7774177370084175,0.8178855023966987,0.6640116034200516,0.627607164791474,0.3292986515741409,0.44447701631320846,0.6994684323099338,0.8071042222643984,0.7948957346971073,0.8600810032323121,0.6460599110033067,0.681669771553032,0.5146357410639111,0.8826481475971113,0.9137269301329337,0.7754565351128092,0.8061614789207804,0.657528019558357,9.997532801828658e-05
2,0.461934146022907,0.7108315221301315,0.8210830539911271,0.77058603959503,0.8599246994212821,0.6699854948178485,0.6519912154310279,0.6016701613854686,0.8666570253899851,0.9222020007798846,0.7977567036248865,0.7841691402316577,0.7346303999292217,0.34546496133719173,0.760869562253356,0.8522423167386345,0.8240085383729329,0.8850188337798629,0.6759148463015519,0.6976164318029843,0.7217891610094479,0.9009096003764157,0.9310034579248976,0.7974045640910755,0.817697187005748,0.8141967742950356,9.990133642141359e-05
3,0.38044531274310966,0.7562282598301492,0.8537850065985376,0.8048499116881026,0.8885456533688638,0.6950926900392881,0.6753414137702849,0.7173116302842067,0.8896961229301558,0.9385776591252124,0.81463725994873,0.8014370832667873,0.8245769077218027,0.3097585884942895,0.7842880940966545,0.8677773678376554,0.8337288874955404,0.8867391525205993,0.701627656137423,0.7371266688855868,0.7622181054441228,0.9070013377000513,0.9303748908119753,0.8161867542649018,0.8450178966270149,0.8403059597843332,9.977809823015401e-05
4,0.32580049984433035,0.7852661247744603,0.8732913663083037,0.8251437400985095,0.917949294326482,0.7263912892451992,0.6966389481806092,0.7602073520215021,0.9016833388146702,0.9564600297240161,0.837917984962241,0.8173538467804159,0.8530416312601756,0.3148699932923866,0.7838396614210474,0.8670721731733986,0.8445361741478481,0.8995365299994037,0.6914284226321985,0.6901295179175952,0.7935676624081911,0.9137515858397005,0.9398566808174994,0.8095954686410691,0.812027177771868,0.8601299527968566,9.960573506572391e-05
5,0.3026691477538811,0.8031165937306705,0.8855175198423666,0.8396464811844958,0.9275785589383708,0.7373431155251132,0.7072425350822784,0.8037722779230939,0.9109535745444818,0.961916632526616,0.8456096220955485,0.8251134341212105,0.8839943359239766,0.29882507780123324,0.7982706840534413,0.8764484499398278,0.847497838830191,0.8998053733495965,0.7119704259056894,0.7321055488927024,0.7999742332890275,0.9151331512036912,0.9389591958103773,0.824005418401469,0.8417429128148683,0.8624015714687332,9.93844170297569e-05
6,0.28618751942283577,0.8114174921824423,0.8906085499261627,0.8487428124580119,0.9302014060042523,0.751128589251527,0.7173910573538806,0.8096235958445404,0.9166194814715547,0.9631820917101679,0.8554297374570157,0.8315928900598017,0.8862185489322736,0.27532654110756183,0.8070496362397476,0.8818149020367361,0.8521965914775455,0.9048268121504595,0.7060826628631542,0.7486328643465799,0.8235092503609993,0.9180572076198692,0.9416747170627231,0.8182544192870228,0.8531416836931746,0.8779464825208906,9.911436253643445e-05
7,0.2669209040770376,0.8231251275718764,0.8977605299536592,0.8599155317578051,0.9403815802048754,0.7617832934138952,0.7213457578931142,0.8321994745896922,0.9234155422157277,0.9689001339565542,0.8622996911489508,0.8339079080381376,0.9002793744089255,0.28349497435348375,0.7992409916387664,0.8761285290022671,0.8572492176105105,0.9117894200460305,0.6733048065669007,0.7317447212953416,0.8221167926750486,0.9212357786428454,0.9471907908189213,0.7939202677377082,0.8414840818159527,0.8768117259959081,9.879583809693738e-05
8,0.25504692467964357,0.8322816182479814,0.9046149066214489,0.8636435388966843,0.9446432769850448,0.7684806776405485,0.7344268472106369,0.8502137505069927,0.9256399076671509,0.9712605819242147,0.8663301023300783,0.8440046921676484,0.9158392490181527,0.27913429259899114,0.8121274595400172,0.8853944333930837,0.8577155092405895,0.9111138861626387,0.7192289914403643,0.7369745950850229,0.83560431577147,0.9214509670909944,0.9459077913903644,0.829596544196099,0.8452401512180102,0.8847767130699509,9.842915805643157e-05
9,0.2407838877428461,0.8394848913713187,0.9083423363526514,0.8749563140725648,0.9497755888711523,0.7774272688009121,0.7437028978709821,0.8515623872409817,0.9324308442472845,0.9738202478078161,0.87217677350166,0.8508270907733574,0.9124567254331389,0.26852277749114567,0.814702753762951,0.8867883712673329,0.857753694293991,0.9017200932619975,0.7233826294541359,0.7594180526951003,0.8312392991095309,0.9213416254949924,0.9376219753261791,0.8320806400590617,0.8604991360270517,0.8823984794293798,9.801468428384717e-05
10,0.23934880626836308,0.8411988409494775,0.9094424536035234,0.8709497679438856,0.9490144792254325,0.7814961404850086,0.7477850662889304,0.8567487508041302,0.92961074572143,0.9735068134142659,0.8751127208251931,0.8533385798774489,0.9156434081792795,0.26792118940798065,0.8170952673705797,0.8887528056650791,0.8579752218155634,0.9114231464586088,0.7245840806040972,0.7563097740686129,0.8351841139060164,0.9215216623487994,0.9464464205587686,0.8322015881885916,0.8582694932864726,0.8853248639427631,9.75528258147577e-05
11,0.2305139154713187,0.846165442346009,0.9122919042859697,0.8755068323678441,0.9513339452031586,0.7852623379375372,0.7542448099702597,0.8644792862512447,0.9319616289544433,0.9745302075871055,0.8767525450189256,0.8576037732858749,0.9206113665834995,0.2605038086868941,0.8216929699870803,0.8913612473342223,0.8593039619071143,0.9197185751464632,0.7237526991715034,0.7630673544037909,0.8426222593065292,0.922355418509188,0.9517487346938104,0.8308597244012405,0.8625125599860727,0.8893297990808,9.70440384477113e-05
12,0.221814029229184,0.8512346251729739,0.9155990458846253,0.8842169525170768,0.9568257631251106,0.7911937329918146,0.7587210157265266,0.8652156615043404,0.9376714266246017,0.9777641853695428,0.8811925237043918,0.8605296330501105,0.9208374606744798,0.26499105029044645,0.8226571058529236,0.8922153527515206,0.8560343706418597,0.9234571048901195,0.7279529851521291,0.7569195505172487,0.8489215180632614,0.920287281890944,0.954052388033656,0.8351324412747803,0.8586709525065316,0.8929337000516913,9.64888242944126e-05
13,0.21330171207793885,0.853578281906192,0.9164417403773077,0.8897900384057451,0.9582961775638439,0.7973325883072836,0.7578922835075192,0.8645803217465678,0.9408874082475921,0.9783924765781249,0.8851564374272842,0.8602001975838306,0.9175721820497068,0.2526118128250043,0.8263085562905801,0.8940741768987296,0.8668425702859485,0.9210661718296627,0.7288116794966516,0.7655337717798021,0.8492885880608348,0.926939643539844,0.9523021235311471,0.8348975000187937,0.8642991407930551,0.8919324766108081,9.588773128419907e-05
14,0.20787767420902295,0.8615703898757973,0.9223840260525688,0.8930905153629957,0.9576743637660036,0.8050391362911021,0.7684469166453238,0.883601017313561,0.9428487677534663,0.9775571120712263,0.8899345152498639,0.867100992517697,0.9344787426705898,0.2584635268246371,0.8254654941370798,0.8935523025055424,0.8622518952876802,0.9180786283095441,0.7313490961456582,0.7620269523726569,0.8536208985698601,0.9239812883306433,0.9496335631464884,0.8364534438312147,0.8619235559827196,0.8957696612366466,9.5241352623301e-05
15,0.2071430803000651,0.8626729275617334,0.9228723341355292,0.8957212043029291,0.9596183284841202,0.8052013461926469,0.7692176714815475,0.8836060873474236,0.9442753455904521,0.9792050478900954,0.8895693594916089,0.8674338097117035,0.9338781079937851,0.25913939908856437,0.823316601888528,0.8923208566087091,0.865375870750064,0.9189776925458795,0.733613714930557,0.7620052442191139,0.8366104869970253,0.9259624152366559,0.9506744921660694,0.8387855060107038,0.8616942018036655,0.8844876678264509,9.455032620941843e-05
16,0.20358544522551475,0.8607439610141835,0.9209794941209093,0.8931084908545017,0.959400510346448,0.8111734750370184,0.770082471271356,0.8699548575615929,0.9425569567876666,0.9790304245779669,0.8939581841073652,0.8678882218381504,0.9214636832933977,0.2868397496640682,0.8129484178734913,0.8857246177201649,0.854345194167561,0.8920615814064466,0.7235206961336117,0.7638147850594823,0.8309998326003551,0.9192371519508817,0.9315246042730385,0.8324627826889028,0.8633474663174078,0.8820510833705932,9.381533400219321e-05
17,0.19250499503687024,0.8684547748640868,0.9261168426616345,0.9032140056844111,0.9643939366495168,0.8195068334677705,0.7769438156651126,0.8782152828536238,0.9486083498360327,0.981734129353518,0.8992150202806485,0.8723828936823452,0.928643820155628,0.25492858656105544,0.831457674485587,0.8974712978847041,0.8677279942092442,0.9233852645589246,0.7401011350845533,0.771028250928909,0.8550457276463036,0.9274063173733622,0.9532516093096816,0.842979744722463,0.8677518718384118,0.8959669461796023,9.303710135019722e-05
18,0.18838770546157052,0.8726515591437757,0.9289597261296381,0.903614337383597,0.9659367768024957,0.8211472028245529,0.7822659713802514,0.8902935073279811,0.9488400188371124,0.9824943367294948,0.9002967962638702,0.8761635809611183,0.9370038978565943,0.2696718249233469,0.8250204676850921,0.8935673385348697,0.8582028900347058,0.9181023338839175,0.7332026724600129,0.7624430444742006,0.8531513975726234,0.9215650576998458,0.9495066078019337,0.8388013142426463,0.8626208235390432,0.8953428893908787,9.22163962751008e-05
19,0.18936193520548167,0.8714011651049886,0.9284467378699004,0.9006184987999775,0.9620010520297068,0.8232793561010449,0.781758479911972,0.8893484386822416,0.947002754362985,0.9804124331904123,0.9016077843882596,0.8753561030170114,0.9378546143908338,0.2543745159156739,0.8319360193692976,0.8979931471017787,0.8707759344861621,0.9263761549123696,0.7348684598470018,0.7705169300001765,0.8571426176007778,0.929295360079773,0.9558132294117412,0.8393488994328994,0.8676466007933858,0.8978616457910941,9.135402871372814e-05
20,0.18009269834254626,0.8778192145267016,0.9325709143427936,0.9098538670826841,0.9662965981772652,0.8294681528652156,0.786642307691552,0.8968351468167923,0.9523290898160133,0.9826550834144799,0.9054038194113956,0.8789231274467768,0.9435434516253025,0.2560013360861275,0.8312199236913805,0.8974741291681575,0.8690820785741957,0.9255410061173496,0.7377830751476779,0.7641863334510062,0.8595071251666735,0.928242510177632,0.9549204840189945,0.8412305947353664,0.8634874050385796,0.899489651870215,9.045084971874742e-05
